0,0.5,0.5,0.5,0.5,0.5
0.005,0.5025,0.5025,0.5025,0.5025,0.5025
0.01,0.505012,0.505012,0.505012,0.505012,0.505012
0.015,0.507538,0.507538,0.507538,0.507538,0.507538
0.02,0.510075,0.510075,0.510075,0.510075,0.510075
0.025,0.512626,0.512626,0.512626,0.512626,0.512626
0.03,0.515189,0.515189,0.515189,0.515189,0.515189
0.035,0.517765,0.517765,0.517765,0.517765,0.517765
0.04,0.520354,0.520354,0.520354,0.520354,0.520354
0.045,0.522955,0.522955,0.522955,0.522955,0.522955
0.05,0.52557,0.52557,0.52557,0.52557,0.52557
0.055,0.528198,0.528198,0.528198,0.528198,0.528198
0.06,0.530839,0.530839,0.530839,0.530839,0.530839
0.065,0.533493,0.533493,0.533493,0.533493,0.533493
0.07,0.536161,0.536161,0.536161,0.536161,0.536161
0.075,0.538841,0.538841,0.538841,0.538841,0.538841
0.08,0.541536,0.541536,0.541536,0.541536,0.541536
0.085,0.544243,0.544243,0.544243,0.544243,0.544243
0.09,0.546964,0.546964,0.546964,0.546964,0.546964
0.095,0.549699,0.549699,0.549699,0.549699,0.549699
0.1,0.552448,0.552448,0.552448,0.552448,0.552448
0,0.5,0.5,0.5,0.5,0.5
0.005,0.5025,0.5025,0.5025,0.5025,0.5025
0.01,0.505012,0.505012,0.505012,0.505012,0.505012
0.015,0.507538,0.507538,0.507538,0.507538,0.507538
0.02,0.510075,0.510075,0.510075,0.510075,0.510075
0.025,0.512626,0.512626,0.512626,0.512626,0.512626
0.03,0.515189,0.515189,0.515189,0.515189,0.515189
0.035,0.517765,0.517765,0.517765,0.517765,0.517765
0.04,0.520354,0.520354,0.520354,0.520354,0.520354
0.045,0.522955,0.522955,0.522955,0.522955,0.522955
0.05,0.52557,0.52557,0.52557,0.52557,0.52557
0.055,0.528198,0.528198,0.528198,0.528198,0.528198
0.06,0.530839,0.530839,0.530839,0.530839,0.530839
0.065,0.533493,0.533493,0.533493,0.533493,0.533493
0.07,0.536161,0.536161,0.536161,0.536161,0.536161
0.075,0.538841,0.538841,0.538841,0.538841,0.538841
0.08,0.541536,0.541536,0.541536,0.541536,0.541536
0.085,0.544243,0.544243,0.544243,0.544243,0.544243
0.09,0.546964,0.546964,0.546964,0.546964,0.546964
0.095,0.549699,0.549699,0.549699,0.549699,0.549699
0.1,0.552448,0.552448,0.552448,0.552448,0.552448
